,ID,sentiment,date_time,text
0,0,Elated,08/11/2016 15:39:16,???I hope that Hillary Clinton will win HillaryClinton Vote2016 PresidentialElection Election2016
1,1,Bored,08/11/2016 15:39:19,Someone told her Trump might not win. Donot disappoint the little children. VoteTrump! ???????  Election2016? 
2,2,Elated,08/11/2016 15:39:17,US Election2016 is like the 2015/16 PL season. Trump is Leicester. Not going away all year and right at the end people realising he'll win.
3,3,Happy,08/11/2016 15:39:18,Election2016 I am so excited to vote for Hillary today! Girl Power ????POW!
4,4,Elated,08/11/2016 15:39:28,if trump wins im not coming to school tomorrow ElectionDay Election2016
5,5,Calm,08/11/2016 15:39:50,Election Day 2016: Trump or Clinton - Time to Decide
6,6,Happy,08/11/2016 15:39:47,That 7 people at a progressive company like Anakle voted Trump is quite worrying. what's up? 
7,7,Elated,08/11/2016 15:39:46,Lena Dunham and Raven Symone packing their bags and moving to Canada if Trump wins? BYE FELICIA. Election2016 TrumpPence16 TRUMP
8,8,Contented,08/11/2016 15:40:01,'It's time for American people to take back their freedom' ~ Donald Trump  Election2016 ElectionDay 
9,9,Elated,08/11/2016 15:40:26,Election2016 The rest of the world ??? would have to make room for the millions of Americans that pledge to leave USA ???? if Trump wins. ??
10,10,Calm,08/11/2016 15:40:43,Re-upping this column today: Why I Now Feel Compelled To Vote For Trump  ElectionDay Election2016
11,11,Calm,08/11/2016 15:40:36,ITS TIME TO VOTE Election2016 MAGA Trump TrumpPence16  ElectionDay  TrumpTrain 
12,12,Calm,08/11/2016 15:40:40,Tweet at us: How do you think the the stock market would react if Trump won?  election2016 ?
13,13,Happy,08/11/2016 15:40:47,ivoted imwithher election2016 hillary so proud to have voted for the next president in my pantsuit and suffra? 
14,14,Sad,08/11/2016 15:40:53,Want To See Just How Stupid Hillary Clinton Supporters Are?  via lowinformationvoters Election2016 VoteTrump MAGA
15,15,Elated,08/11/2016 15:40:50,Please all I want is to see history made twice in my life Election2016 vote Hillary pls
16,16,Happy,08/11/2016 15:40:51,THANK YOU.....NYVOTES IS TRENDING AGAIN MAGA DRAINTHESWAMP VOTE TRUMP AND WEAR RED 
17,17,Nervous,08/11/2016 15:41:08,Give that cat a fucking medal! ElectionDay trump fleewhileyoucan goodreaction poorcat? 
18,18,Elated,08/11/2016 15:41:10,Sean Hannity: If Hillary wins
19,19,Serene,08/11/2016 15:41:13,Genie already out! US democracy is BS ; hypocrite. Women condoning Trump lewd tape as nothing is disturbing Election2016
